"constituency_no","constituency","name","education","role","image_url"
"123","Pollachi","G. Ramanathan","DME","Party Administrator","https://d462xg1zgerhx.cloudfront.net/123.jpg"
"124","Valparai","A. Sridharan","MBBS, DA, PhD., Ex.MLA","Deputy General Secretary of the Party","https://d462xg1zgerhx.cloudfront.net/124.jpg"
"125","Udumalaipettai","G.K. Sankar","","Tiruppur West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/125.jpg"
"126","Madathukulam","R. Thirumalai","B.Sc","Tiruppur South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/126.jpg"
"127","Palani","M. Praveen Kumar","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/127.jpg"
"128","Ottanchathiram","S. Mohan","DCT","Dindigul West District Joint Student Wing Organizer","https://d462xg1zgerhx.cloudfront.net/128.jpg"
"129","Athur","N. Kalaiselvi","","Dindigul Central District Women’s Wing Organizer","https://d462xg1zgerhx.cloudfront.net/129.jpg"
"130","Nilakkottai","R. Ayyanar","M.Com (CA)","Party Administrator","https://d462xg1zgerhx.cloudfront.net/130.jpg"
"131","Natham","L.N. Ramesh","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/131.jpg"
"132","Dindigul","G. Nazeer Raja","BA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/132.jpg"
"133","Vedasandur","N. Naka Jothi","M.V.Sc","Party Administrator","https://d462xg1zgerhx.cloudfront.net/133-1.jpg"
"134","Aravakurichi","P. Karthikeyan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/134-1.jpg"
"135","Karur","V.P. Mathiyalagan","","Karur West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/135.jpg"
"136","Krishnarayapuram","M. Sathya","M.A.,M.ED.,D.Ted","Party Administrator","https://d462xg1zgerhx.cloudfront.net/136-1.jpg"
"137","Kulithalai","G. Balasubramani","","Karur East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/137.jpg"
"138","Manapparai","R. Kathiravan","B.E","Tiruchirappalli South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/138.jpg"
"139","Srirangam","S. Ramesh","B.E","State Coordinator (Media and Communications Team)","https://d462xg1zgerhx.cloudfront.net/139.jpg"
"140","Trichy West","G. Ramamoorthy","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/140-1.jpg"
"141","Tiruchirappalli East","C. Joseph Vijay","","Party President","https://d462xg1zgerhx.cloudfront.net/141a.jpg"
"142","Thiruverumbur","Navalpattu S. Viji","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/142-1.jpg"
"143","Lalgudi","Ku. Pa. Krishnan","","Former Minister, Party Administrator","https://d462xg1zgerhx.cloudfront.net/143b.png"
"144","Manachanallur","V. Saravanan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/144.jpg"
"145","Musiri","M. Vignesh","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/145.jpg"
"146","Thuraiyur","M. Ravisankar","DEEE","Trichy Suburban West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/146.jpg"
"147","Perambalur","K. Sivakumar","Dip","Perambalur District Party Secretary","https://d462xg1zgerhx.cloudfront.net/147.jpg"
"148","Kunnam","M. Revathy","B.Com C.A","Party Administrator","https://d462xg1zgerhx.cloudfront.net/148.jpg"
"149","Ariyalur","M. Sivakumar","MSc","Ariyalur District Party Secretary","https://d462xg1zgerhx.cloudfront.net/149.jpg"
"150","Jayankondam","Kavitha G. Rajendhiran","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/150.jpg"
"151","Thittakudi","A. Rajasekar","DME","Headquarters Secretary","https://d462xg1zgerhx.cloudfront.net/151.jpg"
"152","Vridhachalam","S. Vijay","BSc","Cuddalore West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/152.jpg"
"153","Neyveli","K. Anand","BE","Cuddalore North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/153-1.jpg"
"154","Panruti","M. Manikandan","BE","Party Administrator","https://d462xg1zgerhx.cloudfront.net/154-1.jpg"
"155","Cuddalore","B. Rajkumar","Dip","Cuddalore East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/155.jpg"
"156","Kurinjipadi","D. Rajkumar","Dip","Party Administrator","https://d462xg1zgerhx.cloudfront.net/156.jpg"
"157","Bhuvanagiri","T. Mahalingam","B.Com","Party Administrator","https://d462xg1zgerhx.cloudfront.net/157.jpg"
"158","Chidambaram","A. Nedunchezhiyan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/158-2.jpg"
"159","Kattumannarkovil","S. Seenuvasan","","Cuddalore South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/159.jpg"
"160","Sirkazhi","C.S. Gopinath","","Mayiladuthurai District Party Secretary","https://d462xg1zgerhx.cloudfront.net/160.jpg"
"161","Mayiladuthurai","S.S. Haroon Rasheed","","","https://d462xg1zgerhx.cloudfront.net/161.jpg"
"162","Poompuhar","J. Vijayabalan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/162.jpg"
"163","Nagapattinam","M. Sukumar","","Nagapattinam District Party Secretary","https://d462xg1zgerhx.cloudfront.net/163.jpg"
"164","Kilvelur","TAP. Senthilpandian","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/164-1.jpg"
"165","Vedaranyam","A. Kingsly Gerald","Bcom, MBA","Zonal Advocates Wing","https://d462xg1zgerhx.cloudfront.net/165.jpg"
"166","Tiruthuraipoondi","S. Pandiyan","","District Executive Committee Member","https://d462xg1zgerhx.cloudfront.net/166.jpg"
"167","Mannargudi","U. Rajarajan","DME","District Secretary, Tiruvarur West","https://d462xg1zgerhx.cloudfront.net/167.jpg"
"168","Tiruvarur","V. Veeramani","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/168-1.jpg"
"169","Nannilam","S. Prabhakaran","","Union Party Secretary","https://d462xg1zgerhx.cloudfront.net/169.jpg"
"170","Thiruvidaimaruthur","S. Prabhakaran","","Party District Joint Secretary","https://d462xg1zgerhx.cloudfront.net/170.jpg"
"171","Kumbakonam","R. Vinoth","B.E","Thanjavur East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/171-1.jpg"
"172","Papanasam","U. Azarudeen","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/172-1.jpg"
"173","Tiruvaiyaru","M. Manikandan","B.Tech","Party Administrator","https://d462xg1zgerhx.cloudfront.net/173.jpg"
"174","Thanjavur","R. Vijay Saravanan","BBA","Thanjavur Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/174-1.jpg"
"175","Orathanadu","K. Arvindh","MBBS., MD","Party Administrator","https://d462xg1zgerhx.cloudfront.net/175.jpg"
"176","Pattukkottai","C. Mathan","","Thanjavur South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/176-1.jpg"
"177","Peravurani","D. Chandrakandeepan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/177.jpg"
"178","Kandharvakottai","N. Subramanian","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/178-2.jpg"
"179","Viralimalai","P. Murugesan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/179.jpg"
"180","Pudukottai","K.M. Sheriff","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/180.jpg"
"181","Thirumayam","C. Chinthamani","MBA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/181.jpg"
